title,content
Amanda's exelent instructions…,Amanda was very helpful by giving precise details about acquiring the certificate number and member numbers for our trip insurance. The only difficulty experienced was printing the second travelers I D card from the e-mail sent for this card information. The ID card came thru on two pages instead of together on one page.
Feels excellent,Feels excellent
The ease of acquiring the trip…,The ease of acquiring the trip insurance needed. The quotes and policy documents were made available immediately upon entering trip details.
They have a great BBB rating and was…,They have a great BBB rating and was easy to get quote and accept it
Great Service,Roy was very clear and patient in his explanations and advice. He explained the various options we had and answered our questions in easy to understand terms.
It was an excellent experience working…,It was an excellent experience working with Janet. She was very clear in her explanations of the travel package and she took sufficient time to answer all of my questions. I highly recommend AARDY for securing reliable information
Destiny was awesome and very…,"Destiny was awesome and very professional. She new the policies and spoke clearly with confidence as she review the specifics of the plan we were purchasing. I will be contacting her the next time we require travel insurance. She's very delightful and caring.

Thank you
Linda Hirschy"
Our service agent was excellent and…,"Our service agent was excellent and very patient.
Thank you for your assistance."
Great customer service support.,
Great travel agency,"My agent was Felicia, very helpful, knowledgable, kind agent, and it goes to the other people working at AARDY also. In my future traveling I will only use this travel agency. Highly recommend it."
I had looked for a policy for days then…,I had looked for a policy for days then learned of Aardy. The choices were clear and less confusing than others. I had called and spoken to Melanie yesterday and received quotes. Today I bought a policy then changed my mind. I called and spoke to Destiny who was patient and very helpful. I am relieved to finally have a policy I’m happy with and would like to thank those who worked with me.
The agent although it was a chat…,"The agent although it was a chat through the computer, made the conversation pleasant and informative"
Exceptional customer service,"Sylvia was professional,very knowledgeable and helpful. She made it an easy and enjoyable experience."
"Highly recommend, easy to purchase trip protection",Very easy to purchase protection for a trip. The difference here is the customer service. Agent Melanie explained the differences quickly and made excellent recommendations. No pressure to buy a policy and all questions welcomed and answered completely. Will only use this service again and highly recommend Melanie.
Your agent,"Your agent, Amanda was very helpful, pleasant and professional."
Professional & easy to work with,"Professional & easy to work with, competitive rates. Friendly, great company. I purchased multiple policies. Highly recommend"
Knowledgeable customer service people,Knowledgeable customer service people on the web chat and on the phone. My policy is with respected company AIG so with AARDY I have two points of contact.
The person who helped me was very…helpful,The person who helped me was very knowledgeable and extremely helpful and enjoyable to work with.
so easy to price and purchase…,so easy to price and purchase international travel insurance!
Denise is very professional and…,Denise is very professional and knowledgeable.
Denise was efficient,"Denise was efficient, courteous and knowledgeable."
Quick and easy,Quick and easy and affordable
So easy!!!,"Melanie was so great! Super easy to speak to, very knowledgeable, and super friendly! I felt very comfortable with my travel insurance purchase. Thank you!"
Both Melanie,"Both Melanie, who helped me look at plans on Saturday, and Amanda who helped me today were professional and knowledgeable."
Great customer service,Great customer service. Feel I’m getting the best insurance for the price.
Very easy way to compare policy…,Very easy way to compare policy offerings and make a decision.
Janet was very helpful she was…,Janet was very helpful she was knowledgeable about the products. She even made suggestions that would better fit my plans. I could have completed my purchase over the internet are with her. I chose to complete it with her over the phone. In case I had any additional questions she was very pleasant and it was a very good experience for me.
Janet was fabulous!,
It's very helpful wonderful experience,It's very helpful wonderful experience
Comparisons made easy,Great options for companies and also grid format. Really makes it easy to compare. The different policies. Would definitely use them again.
I had a fantastic experience with…,"I had a fantastic experience with AArdy. Their team went above and beyond to assist me in finding the right coverage for my needs. Sylvia was knowledgeable, patient, and took the time to explain various policy options thoroughly. I appreciate her professionalism and I recommend AArdy to everyone!"
It was easy to navigate the website and…,It was easy to navigate the website and find the best plan for my needs.
Great Experience,"First thing, when I called, we went straight to an agent (Melanie). She looked at the quote we had received and was able to answer all of our questions and explain any differences, so we were able to make a decision right there. It was quick and easy, and we were comfortable making the policy choice. I might add we chatted online several days earlier with Roy and he also was most helpful in answering our questions. Thank you for an great experience. Brenda Kraft"
Complete and timely information on the…,"Complete and timely information on the plans, and full explanation offered on questions."
Aruba 2024,Easy to use and great choices in all different levels of coverage and costs.
The personal service and speaking with…,"The personal service and speaking with very nice people
Especially Christiana and Felicia
I spoke with a male agent a couple weeks back but do not recall his name but he was also great!"
The person I talked to was very patient…,The person I talked to was very patient and helpful. It was nice to talk to a human too!
Janet was just awesome,Janet was just awesome. Very helpful and was patient with all my questions. A totally different experience than I had with another travel insurance company.
Very quick service,
Agent Felicia at AARDY was very helpful…,Agent Felicia at AARDY was very helpful and professional. She helped me understand the differences in policies.
Your agent AMANDA!!!!!,Your agent AMANDA!!!!!! Very patient and nice
Nicole for president,"Nicole for president
Flawless experince that took me 15 minutes to research, review, call, and purchase.

Thank you Nicole, thank you Aardy!"
George was very professional and knew…,George was very professional and knew his product.
Amanda was a doll and answered all…,Amanda was a doll and answered all questions.
Great customer service,Denise and Katrina were very helpful and had a lot of knowledge regarding the coverage that we needed for our travels. Questions were answered with patience and great advice. I would not hesitate to to use this company in the future.
Janet walks on water!,"Your Agent, Janet, was exceptionally helpful in helping me understand policy differences and making specific recommendations based on our specific needs. AARDY was professional, and most helpful in making sure we purchased the best policy for our trip. Will definitely use AARDY again."
She knew everything I needed and…,She knew everything I needed and explained perfectly
Easy to understand,Easy to understand. Representative (Nichole?) was very helpful & knowledgeable. She was very personable
The representatives I worked with were…,The representatives I worked with were courteous and professional.
Very easy site to navigate,Very easy site to navigate - excellent pricing
Shanna and Roy- Great Customer Service,"I first spoke with Shanna and she was very helpful and guided me toward a policy that best fit our needs. Once I had a chance to read the actual
Proposed policy verbiage, I called back to AARDY and this time got Roy. He was extremely knowledgeable in all aspects of the policy purchase experience. I felt like I was in good hands with AARDY and would use them again,"
very respectful to speak with,very respectful to speak with. made my transaction very smooth
Lots of good choices,"Lots of good choices. Easy. Hope we never need it, but it is so important to have. Safe travels. (Picked IMG)."
It was a great experience to be here,
Smooth & Simple,"So easy to arrange, online….i realized the day after I booked that I had made a mistake. But I called right away and within minutes it was handled and corrected!
Such a pleasure to have an easy time getting it sorted out."
Amanda was personable and professional,Amanda was personable and professional. I really enjoyed working with her.
Agent was helpful and patient,"Agent was helpful and patient, explained details so that I understood what I was purchasing. Insurance is difficult to understand and George, the agent, was careful to make sure I purchased a policy that had the coverage I requested."
Professional interaction,George and lady did great job
Ease of use.,
The knowledge and friendliness of…,The knowledge and friendliness of Melanie. She walked us through the whole process.It did not take very long. She made sure we understood the policy we purchased.
"Better Coverage, 1/2 the Cost & Peace of Mind","A nurse I went to school with recommended AARDY and recently bought a policy for her month long Caribbean vacation. She said travel insurance is great peace of mind. When in Mexico two years ago, one of their friends developed appendicitis, and got flown from Cancun to stateside - Texas.
I wanted emergency medical evacuation for European vacation, the cost was half of my previous travel insurance company and surprised that Covid is a valid medical condition with this insurer. Tell your friends about AARDY."
So Easy,"I called in today to buy our travel insurance for January 2025. Denise was very efficient, professional and helpful. We were signed up and set in very short order. I have worked with this company previously and have always been satisfied."
Great service,"Good service, knowledgeable about plans and suggesting a plan that works for a traveler on an individual basis."
Travel insurance made simple!,Don did a great job finding me an excellent policy. He explained it in detail and made it easy to understand.
I will always ask for Amanda,"Amanda was very personable and knowledgeable. I needed to call back after gathering information and specifically asked for her.

Well done, Amanda!"
Miranda was very professional and…,Miranda was very professional and helpful. She was able to answer all of my questions.
Wonderful experience with AARDY!!!,"The agent that we talked with (Andrea) was very helpful, explaining several parts of the insurance coverage that helped us to make the best choice.
With her help we avoided paying too much for travel insurance.
The website was fantastic, easy for us to use and compare policies!!!"
Super affordable and easy!,
Very professional,"Very professional, kind and efficient. I recommend this service to anyone needing travel insurance. We are grateful for the time and effort made to help us."
Great experience!,"You have friendly, patient employees.
I didn’t ever feel like I was asking a dumb question. I have had so many other things on my mind, but Stacey assured me that I hadn’t waited too long and would receive great coverage in case of the unexpected."
Andrea and Amanda were very helpful,Andrea and Amanda were very helpful. All questions were answered. They were great.
Nicole was great,"Nicole was able to quickly answer all my questions. She offered a live call, but I didn't feel I needed one. I am satisfied that I bought the policy I need for an expensive trip."
Helpful agent.,
The agent was very thorough and…,The agent was very thorough and detailed in her explanation of the policy. She was also very patient while I gathered all necessary info needed by her!
Good help with decision making,"Denise was really helpful and gave me information I could not find online. especially that my daughter and I have to have separate policies because we live in different states. I feel more confident in my decision because Denise told me that, if there's a problem with an insurance claim, Aardy will help me."
Your products and the professionalism…,Your products and the professionalism of your staff makes Aardy an excellent choic
Good very nice good experience,
REP WAS JUST GREAT AND SO HELPFUL,
Fabulous,I’ve been working with you for over 2 weeks and can’t say enough how good your staff is. I also contacted Forbes and they couldn’t compare in the least bit. 5 stars to your staff for your help. Highly recommend. Was able to get two other couples to use you!
Super helpful,Super helpful. Appreciate the effort to walk me through the process and thoroughly answer all of my questions
Great value for the piece for a reasonable amount of money.,Great value for the piece
I needed immediate assistance and Voila,"I began with an AARDY online search, moved onto a chat with Shana (?) and concluded with a phone call from Destiny. Each step went smoothly and I learned quickly and painlessly what I needed to choose and then purchase the policy I wanted. Both agents were articulate, patient and knowledgeable and I feel comfortable and confident with the outcome. Thank you! BTW, AARDY came highly recommended from a good friend who travels much more than I do."
Representative was very helpful,"Representative was very helpful, my questions was answered and understandable."
Terrific customer service,
Christiana walked me through provision…,"Christiana walked me through provision by provision, policy by policy. She showed patience knowledge and humor. Couldn't have been a better call"
Nicole,"Nicole, (hope I have her name correctly) was awesome to work with, explained every concern I had and we moved forward with the travel insurance"
Amanda was very knowledgeable.,Amanda was very knowledgeable and helpful in explaining all the features of the insurance I was buying.
Melanie was extremely professional,"Melanie was extremely professional, kind and patient. We very much appreciated her help and hope we will not need this policy however, should we, we trust we will be in good hands.
Thank you!"
Easy to use,"Easy to use, with great options to consider"
The person I talked to was very helpful…,The person I talked to was very helpful and answered all of my questions.
AARDY Agents Offer Outstanding Customer Service,"As a repeat AARDY customer, it is important to commend Janet (et al on the AARDY Sales Team) for their continuous outstanding customer service. In our most recent inquiry with AARDY, Janet accommodated us with utmost professionalism and courtesy. She was extremely knowledgeable and efficient in answering all our questions in choosing the right policy. Janet should be commended for her conscientious effort and be a role model for her peers."
Easy to compare,Easy to compare pricing and benefits that suit my trip.
Excellent experience,Christiana was knowledgeable and helpful in explaining some of the finer points of the policy I was considering.
Excellent service very informative and…,Excellent service very informative and patient
Both customers reps were very helpful,"Both customers reps were very helpful. My question were answer and well explained,"
Great service and clarification,Great service and clarification. The reps help with advice and instructions.
Rep Destiny was knowledgeable,"Rep Destiny was knowledgeable, helpful and very pleasant to deal with. She answered our questions effectively and guided us to a good choice of travel policy."
Shana and Nicole explained everything…,Shana and Nicole explained everything well and clearly. Plus I saved around $830 not using Viking's recommended insurance carrier.
Was very easy to apply for and…,Was very easy to apply for and affordable.
AARDY Representatives Caring and Knowledgeable,Shanna doing online chat and Sylvia during the phone conversation were very helpful and thorough.
Denise was helpful but not pushy so…,Denise was helpful but not pushy so savvy and helped navigate our requests and match best policy for us at a savings. Very impressed w level of service and knowledge she demonstrated. Thank you.
Courteous,"Courteous, knowledgeable and patient service from Stacy (?spelling)"
Very Positive Experience!,Great reputation and reviews! Simple and quick enrollment process. Great value for seniors!
I had an excellent experience…,"I had an excellent experience purchasing travel insurance with AARDY. The representative I worked with, Melanie, was friendly, knowledgeable, professional and very patient! She listened closely to my trip description and asked pertinent questions to determine which policy recommendations to make. She presented 3 scenarios along with their costs. I am very comfortable with the coverage I choose and pleased with the cost. Melanie is a wonderful agent!!!"
Very easy review and a fast quote,
Great customer service and price,"Friendly, polite, helpful, knowledgeable customer service, and a great price. Just what I was looking for and why I will return again and again."
Destiny was very helpful and pleasant…,"Destiny was very helpful and pleasant to talk to. She answered all my questions in detail. When I made the decision to purchase my policy, I called and specifically asked for her and she filled out and submitted the application for me."
Roy was extremely helpful,Roy was extremely helpful. He took the time to review multiple policies and go over the differences with me to ensure that I purchased the best policy for my needs.
THE PROCESS WAS QUICK AND EASY,THE PROCESS WAS QUICK AND EASY. MANY CHOICES.
Good choices and good prices,"The website is easy to use. Results are instant and a decision was easy to make from the choices provided.
We were very happy with the coverage and price."
Agents make a difference!,"Your agents, because both George and Janet helped my sister and me to find the right travel insurance for our trip to Europe. They explained the benefits, answering our questions while giving us thoughtful and various scenarios that helped us make a decision. We are very happy with your agents and the insurance we ultimately chose. Angela and Jean"
Christianna Awesome Job!,"Christianna did an awesome job of finding the best plan . It's always great to talk to someone, easy to understand, and make the process easy."
The AARDY agents are very knowledgeable…,The AARDY agents are very knowledgeable about the overall process AND the details of each policy. They were helpful and patient with all my questions. I will definitely use AARDY again.
Quick response,"Quick response, quality carriers, comprehensive coverage."
We had 2 travelers from 2 different…,"We had 2 travelers from 2 different states.
My questions were all answered and everything was handled perfectly."
Knowledgeable Agent,George was very helpful and answered all my questions. Explained my options and coverage. Definitely will use AARDY again for future travel insurance.
It is very comfortable to use,It is very comfortable to use
I received a lot of question support…,"I received a lot of question support from Christianna. She was extremely helpful, supportive."
Denise was very helpful great…,Denise was very helpful great experience great customer service
Denise was available on a Sunday to…,Denise was available on a Sunday to walk through the policy options and answer my questions.
Sylvia was super helpful and provided…,Sylvia was super helpful and provided lots of information!
I was able to see many quotes and then…,I was able to see many quotes and then compare a few of them to make my choice.
"Christianna was friendly, clear and patient","Christianna was fantastic. I was looking at several policies online. When I initially tried to call no one was available, but she called me back a few minutes later as I was looking at policy fine print. She did an excellent job of explaining the differences between various policies and how that affected their price. I was able to choose the policy that was right for us. She was very clear and very patient. I was very happy with my experience."
Easy to do online,
"Patient, knowledgeable and helpful","All questions answer and both assistants were patient, knowledgeable and helpful"
Amazing AARDY angels!,"Nicole and Amanda were very helpful in explaining, reviewing, and comparing the travel insurance options.
I truly appreciate the patience they both had answering questions and helping me prioritize our needs."
Amanda was VERY helpful!,Amanda was VERY helpful answering my questions about the insurance. I have purchased travel insurance through Aardy a number of times and the phone support has always been perfect. We point friends and the participants on the retreats we lead to Aadry to get their insurance.
quick and easy,quick and easy - well priced. I have used Aardy before and was very pleased.
Agent was very knowledgeable.,
Easy to navigate this website,Easy to navigate this website. Information is clear and concise. Chat feature was easy to use and a live agent answered in a very short time. The agent answered my question and offered to connect me with the number of another agent who would complete my purchase. I declined and said I'd purchase the policy online.
Great Customer Service Experience,Roy was extremely helpful in selecting a Travel Insurance Plan that worked for us. He patiently explained insurance terms that were confusing. It was a great overall customer service experience.
Easy to work with on line,"I can't vouch for claims, etc., since we haven't even gone on the trip but dealing with them on line to purchase the policy was so easy. I was totally undecided after getting a list of quotes so I chose to Chat on line. Brandon R. responded immediately and was very helpful. He reviewed all our information and made pertinent suggestions. He followed up with an email outlining what we had discussed. I ended up purchasing the policy he suggested (and it was less expensive through AARDY than with the insurance company direct). So far I am very happy and hopefully we won't need it."
gracious and lovely and succinct!,"gracious and lovely and succinct!
names Nicole on Chat and Janet on Phone!!!!!"
Melanie was very helpful and answered…,Melanie was very helpful and answered all of my questions.
Don & Melanie were both very helpful,
Extremely knowledgeable and patient,Extremely knowledgeable and patient. Assisted with all questions and walked me through entire process.
Melanie is so helpful and patience to…,Melanie is so helpful and patience to answer all my questions
Knowledgeable guidance through the…,Knowledgeable guidance through the process of selecting an insurance carrier. Melanie was especially patient.
Very quick,"Very quick, responsive, understanding, and explained everything in detail; all without trying to upsell anything.

All questions answered in understandable plain English.

Best of all, reasonable rates for great coverage."
Destiny was fantastic !,"Destiny was fantastic !! She was professional, friendly, answered all our questions , and a pleasure to work with. Most importantly she treated us like she would want to be treated. Thank you Destiny and AARDY"
George is very helpful,George is very helpful. He explained clearly and very fast response. I am very impressed with the service.
The agent was extremely friendly and…,The agent was extremely friendly and helpful. We discussed my various options and she was patient as I made my decision.
Brandon was both knowledgeable and…,Brandon was both knowledgeable and personable. This was my first time purchasing travel insurance and he made the process simple and stress free.
My agent Janet was very professional…,My agent Janet was very professional and patient as she listened to all my concerns and questions.
Miranda was wonderful,"Miranda was wonderful. She was so helpful and patient in answering all my questions. She is a great asset to your
company. Thank you for your help.

Debbie Haddican"
Good coverage for a good price,"Good coverage for a good price, what more can you ask for!!"
Shanna was extremely helpful with a…,"Shanna was extremely helpful with a complicated trip insurance situation. She was patient and thorough, answered all my questions and researched my problem in order to make the best recommendation."
Grateful for Christiana’s help!,Christiana was incredibly helpful and answered many questions for me! I am so pleased that i was able to work with this company ( found through AARP) and with her!
Great customer service,The AARDY representative that I spoke to clearly explained my options and pointed to a plan that would accommodate my needs.
Quick and easy,Quick and easy. Able to review options side by side.
Amanda was very helpful in assisting me…,Amanda was very helpful in assisting me with my international travel insurance
I spoke with Roy F.,"I spoke with Roy F., he was wonderful. personable, knowledgeable and very professional. I needed a policy for a trip in March which I purchased today and another for a European trip in May, which is very different and he guided me to exactly what we needed.
Thanks Roy"
Maranda answered all of my questions…,Maranda answered all of my questions and gave me additional information that I needed. She was extremely helpful.
Easy to Use Website,The information I needed to compare and make my decision to buy your plan was easy to find. I also had the option to call or use the chat. Thank You
Our representative was very helpful…,"Our representative was very helpful answering all our questions.
We were given several policies to compare and felt we ended up with what we needed without purchasing unnecessary coverage."
Amanda is the best!,Being able to speak with Amanda twice ! She was awesome! She coordinated the same travel insurance for four of us travelling on the same trip.
Aardy was amazing,It was amazing. I myself feel lucky that I got the name of aardy referred by one of my friend. in real need of insurance while my with my family was travelling to hyderabad from bengaluru we got full co-operation and personal interaction from aardy to resolve our problem. thanks to aardy
Brilliant working here,
Satisfactory experience,Satisfactory experience
Super and best,
Nicole and Christianna were both very…,Nicole and Christianna were both very helpful and professional in explaining the details of the various options in order for us to decide on a travel insurance policy.
Melanie- the agent,"Melanie- the agent, was so patient and clearly laid out answers for all our questions and explained it well"
Amanda was A#1,Amanda was A#1 ! AARDY is our “Goto” agency for travel insurance.
I was very impressed with the quick…,I was very impressed with the quick response and knowledge of the representative that helped us
Very Knowledgeable!,Melanie did an excellent job of helping me find a suitable travel insurance. She was very knowledgeable and answered any questions I asked and more! I would definitely use this company again!
Very serviceable company.How friendly and serviceable your…,"How friendly and serviceable your agents are, like Amanda who helped us today!"
Quick,"Quick, easy and a good value."
agent knowlegable and pleasant,
Pleasant friendly service,Pleasant friendly service. Knowledgeable assistance in getting a policy that would fit my needs.
Andrea was most helpful in answering…,Andrea was most helpful in answering all of our questions and was a pleasure to work with as well. It could not have been a better interaction for us.
Excellent experience,"Don, my customer service agent, was fantastic. Knowledgeable, patient, responsive. He got back to me promptly with answers to my specific questions. Excellent experience all around."
The Right Plan,"In the course of choosing a travel plan I spoke to at least 3 customer representatives. Each person was friendly, knowledgeable and helpful."
Easy,"Helpful, knowledgeable and easy. Amanda made the whole process comfortable and easy."
Very nice lady Miranda on phone,"Very nice lady Miranda on phone. Answered all questions Easy from start to finish buying policy
thank you"
It was good experience,It was good experience
So easy,So easy. And gave me just what I was asking for.
Destiny was very helpful and courteous.,Destiny was very helpful and courteous.
Connected with Nicole C and Amanda,"Connected with Nicole C, and Amanda. Both were excellent! Knowledgeable, patient and courteous. All you hope for with sales folks but rarely get these days. Excellent customer service skills."
Roy was fantastic,Roy was fantastic! Please keep him! Great customer service and I mean it.
Amanda was wonderful,
Choosing the right plan,George was very helpful in choosing the right insurance for my travel. Very knowledgeable
Denise was very helpful & professional!,
Informative,"Informative, knowledgeable, easy to use."
"Customer Service Denice was…knowledgeable, amiable, friendly & patient. They","Customer Service Denice was knowledgeable, amiable and patient.
Your website was easy to navigate.
You provided ease in purchasing the appropriate policy."
Good price for me,"Good price for me, easy sign up"
Answered all my questions and…,Answered all my questions and transferred me to a wonderful agent
Amanda was very helpful and explained…,Amanda was very helpful and explained every question!! She was polite and considerate with her help!!
The plans were laid out very clearly so…,"The plans were laid out very clearly so I could compare each one. Nicole, the on line helper was…very helpful."
Alaska Cruise,Denise was great in explaining what the policy details were in easy to understand language. She answered all our questions and her voice was calm and reassuring. I felt I was making an informed choice.
Pleasant experience,"Polite representatives, that patiently answered my questions. Shanna & Sylvia were particularly helpful."
Destiny and Miranda helped me buy a…,Destiny and Miranda helped me buy a travel insurance policy for our trip to Great Britain. Very well done by both. Very professional service. Thank you.
Easy to set up policies.,
Insurance purchasers would be lucky if Miranda answered your call,"Miranda was friendly, knowledgeable, and patient while this 85yo tried to understand what I needed. I had talked with her some days ago. I could have bought the insurance online. I called just to speak to Miranda again."
Uncomplicated purchase,Denise answered all my questions in a polite and satisfactory manner and confirmed the level of coverage needed for my pending travel plans.
The best choice for me! Easy to navigate.,"Website was easy to follow and to go back to before purchasing. The policy covered what was real important to me which was trip coverage and medical coverage, which was better in comparison to a lot of the other plans I had looked at."
Denise was terrific,"Denise was terrific! I had put in some parameters on your website for a trip to Tanzania and had received a quote, but I had questions. I called your phone support number, and Denise pointed out considerations for a trip like ours. She was clear, direct, and helped me book a policy that would best meet our needs, in just a few minutes.."
easy to understand agent and helped me decide,The agent was friendly and knowledgeable. She looked up my previous trip records and helped me decide which policy was good for me. She was easy to understand and she understood my needs. I have used this company before and have always been satisfied with the help and expertise. Ira from NC
Great Agent,"Agent was patient and explained things clearly. She answered all our questions. Shawna was very pleasant, easy to work with and had a good sense of humor."
Everything worked perfectly,"The lady that I spoke to was very pleasant, helpful and well informed."
Destiny,"Destiny . Her voice and the way she talks is very sweet Helped me understand and walked me through.
Excellent rep."
Denise was so helpful,"She took the time to make sure I understood all my options and help me make the right decision on my travel insurance. And even though I needed to call back 3 times she was always pleasant. This is the second time I have used this company, and I would highly recommend Denise and AARDY."
Excellent service representative,Spoke with Nicole. She was so kind and answered all of my questions. She is an asset to your company.
Very helpful and respectful service,"After looking online at AARDY for a travel insurance policy, I called in to the company to have some questions answered. I spoke to agent Sylvia, who was very helpful and informative. She spent a lot of time answering my questions, and giving details about the policy that were a little hard to understand. I needed a few days to cancel a previous policy with another company that I was not happy with. So when I called back today, she helped me buy the policy, and explained all the documents I would receive via email, with necessary information to know if I am to need to make a claim. I could not be happier with the service I received!"
Many options for trip insurance,"Amanda was super kind and very knowledgeable, a pleasant person who knows her stuff!"
Awesome,"Kind, helpful agent. Pleasant voice."
Knowledgeable and nice agent answered…,Knowledgeable and nice agent answered all my questions with patience.
Denise helpful with review process…,Denise was very helpful in reviewing several travel insurance options and answering all of our questions.
Denise was very helpful,"Denise was very helpful in helping me decide on the best policy for my situation.
Very efficient."
Good speedy guidance,Very helpful with selecting the insurance we needed for the best price and reliability
Very helpful in comparisons and backup…,Very helpful in comparisons and backup info
George was great,George was great. He helped me walk through the process and gave all the information to make a decision.
Christianna was very knowledgeable,"Christianna was very knowledgeable, directed us to an appropriate insurance coverage. Very clear in her explanations."
The person I spoke with was very…,The person I spoke with was very knowledgeable and super nice!
Very convenient.,
It was very easy to buy travel…,It was very easy to buy travel insurance online. Your website was user friendly. Thank you.
Luis rocks!,Luis was very helpful. I'm so happy with our travel insurance.
AARDY - A reliable partner for travel insurance needs,"AARDY provided a wide range of insurance options. I originally viewed options online, however followed-up with a direct call. I was assisted by Terry and Sylvia on two separate calls. Both team members were knowledgeable on policy options, and asked me questions to assist me in making an informed decision. My information had remained in the system which allowed Sylvia (call #2) to pick-up the discussion seamlessly. Pricing was indeed the best of all options and policy coverage is above average. Excellent experience all around and would highly recommend using AARDY."
Good,"Fast, efficient and good information..."
Good communication and willingness to…,Good communication and willingness to answer questions.
not completed,I paid for and received the confirmation and IDs for the 3 who are going from Texas However I am going from Michigan I have no received my confirmation or ID. The bank shows you debited my account for $640 for the 3 from Texas and $595 for me from Michigan. Please send my paperwork to me. Janice Gross
Janet was able to explain questions I…,Janet was able to explain questions I had regarding “pre existing” conditions. And outline a plan specific to our needs
Destiny was wonderful,Destiny was wonderful! She answered all my questions and gave me peace of mind that I was selecting the right policy for my needs.
Insurance purchase was handled quickly and professionally.,"Destiny was very professional and kind, able to answer questions quickly, giving me reassurance my purchase was going to be handled well."
Wonderful experience,Wonderful experience
Wonder Full Very Nice,Wonder Full Very Nice
Good service,
Excellent advice and great customer…,Excellent advice and great customer service. Thank you
Ease of use and policy options.,"Ease of use and policy options, and reasonable prices."
Easy to use and professional agent support,Shows policy options effectively. Agent was very helpful choosing the right plan.
Agent Sylvia was courteous,"Agent Sylvia was courteous, thorough and answered all of my questions. She explained the differences in the policies and advised which one would fit our needs."
Polite and knowledgeable,"Very knowledgeable and polite, Nicole helped finalize the 2 policies that I started with Miranda. Thanks to you both"
The agent was exceptional,The agent was exceptional. I think her name was Amanda.
She was efficient and professional and…,She was efficient and professional and got us the best deal
Clear and well explained info.,
Sylvia was extremely helpful in helping…,Sylvia was extremely helpful in helping us decide. Very patient and knowledgeable.
Andrea was very accomodating,"Andrea was very accomodating, friendly, informed, and helpful. She helped me throught he process and patiently explained all the elements of Travel insurance with me."
It was easy and quick.,
The agent was extremely helpful and…,The agent was extremely helpful and listened to our needs.
Roy was very knowledgeable and helpful…,Roy was very knowledgeable and helpful in my selection of a travel insurance policy. Throughly explained what documents I would be receiving and made himself available if I had questions later on. Thanks!
Easy Website to follow.,
Nice response,Nice response
I started with Melanie and finished…,I started with Melanie and finished her. She was absolutely amazing!! I spoke with two others that answered my questions! It was a great experience.
Easy booking experience,Easy booking experience. Well designed site. Good prices.
Awesome customer service,Well there seem to be a IT problem when I paid for my policy but the team over Aardy was more than helpful and we finally got the issue fixed. I spoke with 4 different people over there. And they were all very pleasant and helpful.
Miranda was very helpful and called us…,Miranda was very helpful and called us back in a timely manner.
Amazing service very courteous,
Travel Agents Andrea and Sylvia were…,"Travel Agents Andrea and Sylvia were kind, patient and very knowledgeable about various plans. I feel confident that the two policies I purchased will meet my needs."
I don't know anything about cruise…,"I don't know anything about cruise insurance, but knew I needed it. Sylvia and Miranda took the time to explain it all to me- TWICE. The cost was less than half the cost for insurance from the cruise."
Janet helped me sort out my options and was extremely helpful in understanding the policy characteristics,Janet helped me sort out my options
Great customer service and ease of use …,Great customer service and ease of use of your web site
It was so simple and easy to get quotes…,It was so simple and easy to get quotes and compare
Denise was very helpful and courteous,Denise was very helpful and courteous. She should get the 5 stars. I will use your company for future travel plans.
Easy to Use,Very easy to research and compare various policy options in one place. Pricing was reasonable.
Very easy to compare and buy.,
Helpful,"Helpful, kind, patient and knowledgeable"
Awesome experience,Awesome experience purchasing travel protection !
No upselling,Janet answered my questions without trying to upsell me! Gotta love that. :-)
AARDY laid out suggested insurance…,AARDY laid out suggested insurance policies in a way that made it easy for comparison and making a choice about which policy to buy.
A Worthwhile Call,"Amanda responded immediately to my call, addressed all my questions and even had observations about my trip coverage that I would not have thought about on my own. In the end I feel I have appropriate coverage for less money than I anticipated!"
Best platform,Best platform
Customer service has been very helpful…,Customer service has been very helpful and knowledgeable. I had to cancel my plan because I was already covered with another policy. Everyone was still nice after I needed to cancel. They handled the situation quickly and promptly. I will be certain to purchase with Aardy again!!
Agents very responsive,Agents very responsive and even though it was a very small policy they took plenty of time and care with me. I am a repeat customer because I have always gotten good service from them.
Amanda helped me and answered all of my…,"Amanda helped me and answered all of my questions, which was great."
Numerous policies to compare and great…,Numerous policies to compare and great layout.
Options clearly explained,"Options clearly explained, easy process. Agent was very helpful and knowledgeable."
Agent Destiny was very curious,"Agent Destiny was very curious , knowledgeable and helpful. Seems Aardys offers are respectfable. Hopefully never have to file a claim but if so I will let you know how that goes."
Ward was great,Ward was great! Answered all my questions.
Excellent help comparing policies.,"I was comparing policies to get the right one for my international trip. Christianna called me to talk about my needs and concerns. We discussed a few different options available and problems I had with determining the value of the trip. She was very helpful and patient, spending as much time as I needed determine the right policy."
Outstanding Customer Service,"Janet S. Was very helpful and informative to our situation. She took the time to take care of a policy that we had recently purchased and wanted to cancel and get a different policy .

She explained and recommended the policy that we were looking at to replace our current one. VERY HELPFUL !!! THANK YOU THANK YOU !!!! Janet S."
Great service and explanations of…,"Great service and explanations of policy from George at AARDY. Very personable, concise and understanding."
Professional knowledgeable,
Easy polite professional,
Melanie was very GREAT,"Melanie was very professional , knowledgeable and friendly. I was leaning not to buy, but after talking to her, I was convince I was ready to purchase the policy. Thank you, JC"
So far so good,So far so good. The agent I spoke to was helpful in helping me decide on a policy.
